file,title,chars,imgs,missing_alt,buttons,links,inputs,labels,style_tags,script_tags,material_links,tailwind_cdn,duplicate_font_material
long_distance_pilgrimage_mode_mobile_2/code.html,St. Lawrence Heritage Way - Pilgrim Path,8085,0,0,0,0,0,0,2,2,2,True,2
montreal_heritage_pack_detail/code.html,Montreal Heritage Pack - Meaningful Routes,20194,1,1,10,10,1,0,1,2,2,True,2
natural_language_search_mobile/code.html,Meaningful Routes - Search,22562,3,2,18,0,1,0,2,2,2,True,2
route_completed_mobile/code.html,Meaningful Routes - Completion,13344,0,0,3,0,1,0,2,3,2,True,2
live_route_desktop_1/code.html,Live Route - Meaningful Routes,17844,0,0,8,6,0,0,1,2,2,True,2
accessibility_route_notes_desktop/code.html,Accessibility Route Notes - Old Montreal,21081,2,0,8,5,6,5,1,2,2,True,2
landing_page_desktop/code.html,Meaningful Routes,21779,4,4,5,7,0,1,1,2,2,True,2
route_issue_report_mobile/code.html,Report Route Issue,17874,0,0,11,0,2,4,2,3,2,True,2
live_route_desktop_2/code.html,Live Route - Meaningful Routes,16656,1,1,10,7,0,0,0,2,2,True,2
settings_mobile/code.html,Settings - Meaningful Routes,26958,1,0,22,0,9,9,2,3,2,True,2
share_route_completion_desktop/code.html,Share Route - PathFinder,22095,2,2,14,9,7,8,0,2,2,True,2
history_mobile/code.html,Meaningful Routes - History,19992,3,3,12,5,0,0,2,2,2,True,2
saved_library_desktop/code.html,Saved Places & Routes - Meaningful Routes,28410,9,9,14,19,1,0,0,2,2,True,2
route_results_desktop/code.html,Route Results - Meaningful Routes,24394,3,3,9,7,5,3,1,2,2,True,2
weather_time_suggestions_desktop/code.html,Best Time to Walk - Meaningful Routes,24502,0,0,5,12,4,3,1,2,2,True,2
monument_list_filters_desktop/code.html,Monuments - Meaningful Routes,22854,0,0,17,7,9,7,1,3,2,True,2
app_home_desktop/code.html,Home / Around Me - Meaningful Routes,27152,5,0,9,12,1,0,1,2,2,True,2
route_export_workspace_desktop/code.html,Export route guide - Pathfinder,21537,1,1,6,9,10,10,1,2,2,True,2
post_mvp_feature_inventory_desktop/code.html,Meaningful Routes | Post-MVP Feature Inventory,29068,0,0,3,4,0,0,1,3,2,True,2
next_stop_preview_desktop/code.html,Next Stop Preview - Pathfinder,18546,2,0,6,4,0,0,0,2,2,True,2
route_issue_report_desktop/code.html,Route Issue Report - Meaningful Routes,21112,2,2,8,1,8,11,1,3,2,True,2
offline_route_cards_mobile/code.html,Offline Routes - Montreal,20778,2,2,15,0,3,2,2,3,2,True,2
neighborhood_page_desktop/code.html,Old Montreal Neighborhood Guide - Meaningful Routes,29010,10,10,6,10,1,0,1,2,2,True,2
tickets_tours_old_montreal_loop_mobile/code.html,Tickets & tours,21541,0,0,21,0,0,0,2,2,2,True,2
explore_cities_mobile/code.html,Meaningful Routes - Explore by City,18917,0,0,8,0,1,0,3,2,2,True,2
audio_stories_mobile/code.html,Audio Stories - Old Montreal Historic Walk,21681,1,1,9,4,0,0,2,2,2,True,2
partner_portal_guest_route_kits/code.html,Meaningful Routes - Partner Portal,25133,4,3,15,0,3,3,2,2,2,True,2
pilgrimage_planner_st._lawrence_heritage_way/code.html,Pilgrimage Planner - Peregrino,34100,1,1,7,17,7,8,1,2,2,True,2
map_explorer_desktop/code.html,Heritage Layers - Map Explorer,27140,0,0,8,11,8,15,9,2,2,True,2
